Device: cuda, seed: 42

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 19: train_loss=0.0727 val_acc=0.7647
  epoch 20: train_loss=0.0522 val_acc=0.5294
  epoch 21: train_loss=0.1176 val_acc=0.7647
  epoch 22: train_loss=0.0807 val_acc=0.5294
  epoch 23: train_loss=0.1120 val_acc=0.5294
  epoch 24: train_loss=0.0743 val_acc=0.7059
  -- fold 2: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.7384 val_acc=0.4706
  epoch 1: train_loss=0.6630 val_acc=0.4706
  epoch 2: train_loss=0.4767 val_acc=0.4706
  epoch 3: train_loss=0.4897 val_acc=0.5294
  epoch 4: train_loss=0.4250 val_acc=0.4706
  epoch 5: train_loss=0.4370 val_acc=0.3529
  epoch 6: train_loss=0.3998 val_acc=0.7647
  epoch 7: train_loss=0.2963 val_acc=0.6471
  epoch 8: train_loss=0.3490 val_acc=0.4706
  epoch 9: train_loss=0.4159 val_acc=0.4706
  epoch 10: train_loss=0.3029 val_acc=0.5294
  epoch 11: train_loss=0.3071 val_acc=0.7647
  epoch 12: train_loss=0.2690 val_acc=0.6471
  epoch 13: train_loss=0.2582 val_acc=0.5882
  epoch 14: train_loss=0.2351 val_acc=0.5294
  epoch 15: train_loss=0.2578 val_acc=0.5294
  epoch 16: train_loss=0.2595 val_acc=0.8235
  epoch 17: train_loss=0.1902 val_acc=0.8824
  epoch 18: train_loss=0.2301 val_acc=0.5294
  epoch 19: train_loss=0.1623 val_acc=0.8235
  epoch 20: train_loss=0.2439 val_acc=0.6471
  epoch 21: train_loss=0.1468 val_acc=0.5294
  epoch 22: train_loss=0.1690 val_acc=0.4706
  epoch 23: train_loss=0.1744 val_acc=0.5882
  epoch 24: train_loss=0.2537 val_acc=0.7059
  -- fold 3: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.6691 val_acc=0.5294
  epoch 1: train_loss=0.5322 val_acc=0.5294
  epoch 2: train_loss=0.5536 val_acc=0.5882
  epoch 3: train_loss=0.5220 val_acc=0.5294
  epoch 4: train_loss=0.4775 val_acc=0.4706
  epoch 5: train_loss=0.5460 val_acc=0.8824
  epoch 6: train_loss=0.4419 val_acc=0.7059
  epoch 7: train_loss=0.5000 val_acc=0.4706
  epoch 8: train_loss=0.4142 val_acc=0.6471
  epoch 9: train_loss=0.3828 val_acc=0.6471
  epoch 10: train_loss=0.3512 val_acc=0.4706
  epoch 11: train_loss=0.3246 val_acc=0.6471
  epoch 12: train_loss=0.3843 val_acc=0.6471
  epoch 13: train_loss=0.3008 val_acc=0.5882
  epoch 14: train_loss=0.2804 val_acc=0.8824
  epoch 15: train_loss=0.2443 val_acc=0.7059
  epoch 16: train_loss=0.2556 val_acc=0.5294
  epoch 17: train_loss=0.2765 val_acc=0.4706
  epoch 18: train_loss=0.3634 val_acc=0.6471
  epoch 19: train_loss=0.1895 val_acc=0.7059
  epoch 20: train_loss=0.2520 val_acc=0.4706
  epoch 21: train_loss=0.2048 val_acc=0.7059
  epoch 22: train_loss=0.1769 val_acc=0.5294
  epoch 23: train_loss=0.1565 val_acc=0.7059
  epoch 24: train_loss=0.1593 val_acc=0.5294
  -- fold 4: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.7328 val_acc=0.4706
  epoch 1: train_loss=0.5715 val_acc=0.7059
  epoch 2: train_loss=0.4929 val_acc=0.5294
  epoch 3: train_loss=0.4226 val_acc=0.6471
  epoch 4: train_loss=0.4458 val_acc=0.7059
  epoch 5: train_loss=0.3818 val_acc=0.7647
  epoch 6: train_loss=0.4018 val_acc=0.7647
  epoch 7: train_loss=0.3911 val_acc=0.4706
  epoch 8: train_loss=0.3904 val_acc=0.7647
  epoch 9: train_loss=0.2820 val_acc=0.7647
  epoch 10: train_loss=0.3376 val_acc=0.4706
  epoch 11: train_loss=0.2326 val_acc=0.7059
  epoch 12: train_loss=0.2604 val_acc=0.4706
  epoch 13: train_loss=0.2810 val_acc=0.4706
  epoch 14: train_loss=0.2334 val_acc=0.6471
  epoch 15: train_loss=0.2054 val_acc=0.4706
  epoch 16: train_loss=0.2453 val_acc=0.5882
  epoch 17: train_loss=0.1532 val_acc=0.4706
  epoch 18: train_loss=0.2742 val_acc=0.8824
  epoch 19: train_loss=0.2017 val_acc=0.4706
  epoch 20: train_loss=0.2125 val_acc=0.8235
  epoch 21: train_loss=0.2091 val_acc=0.4706
  epoch 22: train_loss=0.2035 val_acc=0.7059
  epoch 23: train_loss=0.1515 val_acc=0.8824
  epoch 24: train_loss=0.1265 val_acc=0.5294
RESULT pd_motor_wave: {'accuracy': 0.7549019607843137, 'macro_f1': 0.7478991596638656, 'sensitivity_per_class': {0: 0.9215686274509803, 1: 0.5882352941176471}, 'specificity_per_class': {0: 0.5882352941176471, 1: 0.9215686274509803}, 'auc_roc': 0.895040369088812, 'n_folds': 5, 'n_test_total': 102, 'per_fold_accuracy': [0.7142857142857143, 0.8095238095238095, 0.8, 0.75, 0.7], 'note': "5-fold stratified CV over the full train+test pool (n=102); checkpoint is fold-0's model only"}

=== Experiment: Parkinson's voice (UCI dysphonia features), healthy vs PD, 5-fold subject-grouped CV ===
  -- fold 0: n_train=126 n_val=32 n_test=37
  epoch 0: train_loss=0.6459 val_acc=0.7188
  epoch 1: train_loss=0.5817 val_acc=0.7188
  epoch 2: train_loss=0.5920 val_acc=0.7188
  epoch 3: train_loss=0.6249 val_acc=0.7188
  epoch 4: train_loss=0.5835 val_acc=0.7188
  epoch 5: train_loss=0.5657 val_acc=0.7188
  epoch 6: train_loss=0.5809 val_acc=0.7188
  epoch 7: train_loss=0.5606 val_acc=0.7188
  epoch 8: train_loss=0.5489 val_acc=0.7188
  epoch 9: train_loss=0.5930 val_acc=0.7188
  epoch 10: train_loss=0.5637 val_acc=0.8750
  epoch 11: train_loss=0.5660 val_acc=0.7188
  epoch 12: train_loss=0.5346 val_acc=0.7188
  epoch 13: train_loss=0.5604 val_acc=0.7188
  epoch 14: train_loss=0.5461 val_acc=0.7188
  epoch 15: train_loss=0.5611 val_acc=0.7188
  epoch 16: train_loss=0.5272 val_acc=0.8750
  epoch 17: train_loss=0.5077 val_acc=0.7500
  epoch 18: train_loss=0.5447 val_acc=0.8438
  epoch 19: train_loss=0.5241 val_acc=0.8750
  epoch 20: train_loss=0.5161 val_acc=0.7500
  epoch 21: train_loss=0.5139 val_acc=0.8438
  epoch 22: train_loss=0.4908 val_acc=0.8750
  epoch 23: train_loss=0.4758 val_acc=0.7188
  epoch 24: train_loss=0.5427 val_acc=0.8750
  epoch 25: train_loss=0.4858 val_acc=0.7188
  epoch 26: train_loss=0.6184 val_acc=0.7188
  epoch 27: train_loss=0.5521 val_acc=0.7188
  epoch 28: train_loss=0.5264 val_acc=0.8750
  epoch 29: train_loss=0.5103 val_acc=0.8438
