Device: cuda, seed: 44

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 0: train_loss=0.6887 val_acc=0.5294
  epoch 1: train_loss=0.5483 val_acc=0.5294
  epoch 2: train_loss=0.4426 val_acc=0.5294
  epoch 3: train_loss=0.4655 val_acc=0.5294
  epoch 4: train_loss=0.3974 val_acc=0.5294
  epoch 5: train_loss=0.4379 val_acc=0.6471
  epoch 6: train_loss=0.4253 val_acc=0.5294
  epoch 7: train_loss=0.3647 val_acc=0.7059
  epoch 8: train_loss=0.2839 val_acc=0.7059
  epoch 9: train_loss=0.3750 val_acc=0.4706
  epoch 10: train_loss=0.2875 val_acc=0.8235
  epoch 11: train_loss=0.2473 val_acc=0.4706
  epoch 12: train_loss=0.2727 val_acc=0.5882
  epoch 13: train_loss=0.2163 val_acc=0.6471
  epoch 14: train_loss=0.2096 val_acc=0.7059
  epoch 15: train_loss=0.1992 val_acc=0.4706
  epoch 16: train_loss=0.1682 val_acc=0.4706
  epoch 17: train_loss=0.1993 val_acc=0.7059
  epoch 18: train_loss=0.1490 val_acc=0.4706
  epoch 19: train_loss=0.1782 val_acc=0.7059
  epoch 20: train_loss=0.1986 val_acc=0.4706
  epoch 21: train_loss=0.3077 val_acc=0.6471
  epoch 22: train_loss=0.1627 val_acc=0.7647
  epoch 23: train_loss=0.1849 val_acc=0.7647
  epoch 24: train_loss=0.1615 val_acc=0.4706
  -- fold 3: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.6718 val_acc=0.5294
  epoch 1: train_loss=0.6426 val_acc=0.5294
  epoch 2: train_loss=0.4804 val_acc=0.5294
  epoch 3: train_loss=0.4482 val_acc=0.5294
  epoch 4: train_loss=0.4061 val_acc=0.5294
  epoch 5: train_loss=0.3698 val_acc=0.7059
  epoch 6: train_loss=0.3238 val_acc=0.4706
  epoch 7: train_loss=0.3053 val_acc=0.5294
  epoch 8: train_loss=0.4111 val_acc=0.4706
  epoch 9: train_loss=0.2409 val_acc=0.5882
  epoch 10: train_loss=0.2482 val_acc=0.7059
  epoch 11: train_loss=0.2364 val_acc=0.5882
  epoch 12: train_loss=0.2811 val_acc=0.4706
  epoch 13: train_loss=0.2309 val_acc=0.6471
  epoch 14: train_loss=0.2752 val_acc=0.6471
  epoch 15: train_loss=0.2275 val_acc=0.5882
  epoch 16: train_loss=0.2082 val_acc=0.8235
  epoch 17: train_loss=0.2371 val_acc=0.6471
  epoch 18: train_loss=0.1355 val_acc=0.8824
  epoch 19: train_loss=0.1777 val_acc=0.5294
  epoch 20: train_loss=0.1537 val_acc=0.8824
  epoch 21: train_loss=0.1510 val_acc=0.7059
  epoch 22: train_loss=0.1663 val_acc=0.8824
  epoch 23: train_loss=0.0924 val_acc=0.8235
  epoch 24: train_loss=0.1049 val_acc=0.5294
